,dates,Blue,Green,Red,NIR,SWIR1,SWIR2,Thermal,qa
0,724402,247,409,386,1702,1051,501,2929,2
1,724418,3105,4507,4505,5181,3589,2343,2762,4
2,724626,406,524,463,1781,1054,397,2863,0
3,724706,152,278,259,1511,824,369,2874,0
4,724722,180,353,330,1603,894,391,2894,0
5,725026,140,244,254,1695,867,356,2863,0
6,725042,122,313,239,1640,848,379,2872,0
7,725058,154,321,254,1621,883,396,2857,0
8,725074,171,319,261,1617,809,375,2869,0
9,725090,16022,16022,7497,16022,6378,3990,2746,4
10,725122,1573,1786,1638,2608,1627,1217,2648,4
11,725202,2024,2225,2190,3396,2810,2013,2820,4
12,725218,266,456,364,1975,1038,459,2924,2
13,725250,16022,5568,5540,6177,4644,3177,2799,4
14,725266,403,584,535,1814,1091,569,2840,0
15,725282,3020,3441,3411,4639,4185,4087,2821,4
16,725298,311,462,424,2087,1137,544,2906,0
17,725314,16022,5116,5079,5613,3961,2486,2787,4
18,725346,190,295,258,1588,916,363,2900,0
19,725362,143,356,270,1680,908,373,2885,0
20,725378,321,440,383,1626,839,371,2853,0
21,725394,185,350,265,1649,891,462,2888,0
22,725410,224,348,316,1782,1014,438,2856,2
23,725650,129,294,214,1491,941,438,2942,0
24,725994,310,490,424,1840,1138,453,2887,0
25,726010,218,299,261,1566,851,312,2927,0
26,726042,173,319,303,1758,933,425,2896,0
27,726058,16022,5947,6075,6578,4688,3355,2631,4
28,726074,185,270,254,1506,827,297,2890,0
29,726106,141,302,241,1599,887,400,2890,0
30,726370,16022,16022,16022,8561,2697,1237,2749,4
31,726378,184,298,259,1626,896,347,2927,0
32,726386,139,304,219,1639,914,362,2922,0
33,726394,1789,2117,2059,3633,2763,2362,2888,4
34,726402,260,413,344,1983,1091,548,2912,0
35,726498,112,282,250,1402,764,353,2843,0
36,726530,108,262,207,1422,863,347,2888,0
37,726562,165,284,268,1404,862,351,2912,0
38,726578,138,299,283,1122,677,265,2869,0
39,726914,148,333,310,1427,903,394,2916,0
40,726930,298,428,371,1406,917,449,2865,0
41,726946,409,598,704,1384,2317,1821,3046,0
42,726962,511,785,811,2232,2421,1330,2989,0
43,726978,16022,4205,4201,4779,3788,2660,2727,4
44,727058,352,516,446,1617,978,491,2923,0
45,727138,630,785,782,1918,988,430,2874,0
46,727154,617,691,659,1305,588,369,2838,0
47,727170,249,395,351,1485,982,392,2878,0
48,727186,16022,9152,9394,9476,5381,3235,2827,3
49,727250,249,410,379,1556,891,441,2875,0
50,727402,1139,1287,1225,1876,1366,1096,2847,4
51,728066,16022,4582,4525,5090,4172,2957,2817,4
52,728850,248,437,404,1509,875,468,2833,0
53,728882,159,241,226,1349,822,283,2930,0
54,728898,289,391,333,1605,944,426,2900,0
55,728914,16022,7024,7044,7758,6451,4891,2770,4
56,728946,144,269,215,1507,894,416,2919,0
57,729154,265,335,382,1691,1012,542,2914,0
58,729202,249,374,371,1540,932,445,2891,0
59,729266,3416,3580,3678,4618,3943,3183,2745,4
60,729282,160,335,319,1521,943,451,2936,0
61,729314,1766,1842,1873,2898,2374,1536,2844,4
62,729426,270,366,343,1757,1168,589,2892,0
63,729442,1128,1197,1230,2408,2124,1693,2834,4
64,729474,16022,6911,6976,7362,3780,2872,2474,4
65,729490,193,344,330,1533,982,400,2925,0
66,729506,2813,3022,3099,4304,3631,2978,2846,4
67,729538,830,963,892,2051,1308,772,2730,0
68,729570,304,434,401,1556,968,439,2928,0
69,729586,3017,3268,3369,4542,4881,4226,2825,4
70,729602,165,284,292,1474,892,437,2932,0
