,dates,Blue,Green,Red,NIR,SWIR1,SWIR2,Thermal,qa
0,724402,982,1168,1214,2435,2522,1512,2943,0
1,724418,16022,3654,3679,4631,4081,3443,2767,4
2,724626,355,489,512,2015,1507,722,2910,0
3,724706,377,527,644,1592,2143,1251,2943,0
4,724722,1531,1738,1798,2987,2928,2293,2845,4
5,725026,247,443,434,1994,1264,591,2894,0
6,725042,294,470,456,1915,1497,819,2911,0
7,725058,284,500,522,2005,1549,726,2930,0
8,725074,299,516,473,1868,1279,729,2923,0
9,725090,343,549,538,2184,1757,985,2975,0
10,725122,2211,2417,2297,3640,2484,1679,2687,4
11,725202,319,573,530,2460,1740,853,2994,0
12,725218,741,752,726,1719,1070,722,2911,4
13,725250,281,551,510,2501,1349,606,2952,0
14,725266,396,613,598,2642,1647,870,2935,0
15,725282,333,537,495,2800,1615,668,2945,0
16,725298,266,486,448,2476,1311,586,2952,0
17,725314,281,533,485,2456,1432,613,2936,0
18,725346,208,404,398,1941,1254,507,2932,0
19,725362,234,379,375,1893,1119,473,2897,0
20,725378,295,442,346,1334,913,372,2893,0
21,725394,250,418,451,1805,1265,560,2901,0
22,725410,270,322,253,854,494,160,2894,2
23,725650,275,476,410,2439,1610,744,3003,0
24,725994,297,486,482,2065,1490,706,3003,0
25,726010,542,780,733,2524,1581,799,2837,0
26,726042,509,759,747,2690,1774,992,2925,2
27,726058,16022,7903,7900,8481,4117,3073,2570,4
28,726074,308,495,412,2218,1299,614,2908,0
29,726106,218,408,411,1898,1278,634,2899,0
30,726370,360,569,428,2324,1363,664,2967,0
31,726378,309,526,454,2383,1699,830,2969,0
32,726386,278,494,422,2387,1449,666,2945,0
33,726394,723,960,916,2862,1858,1025,2959,2
34,726402,305,490,450,2369,1609,672,2945,2
35,726498,264,408,479,1831,1251,632,2894,0
36,726530,264,430,429,1718,1291,671,2904,0
37,726562,294,462,463,1712,1535,830,2965,0
38,726578,330,552,542,1841,1538,824,2942,0
39,726914,282,387,456,1662,1405,769,2936,0
40,726930,556,651,693,1778,1424,737,2920,2
41,726946,362,644,504,2647,1773,916,3003,0
42,726962,450,682,665,2594,2395,1417,3056,0
43,726978,16022,4184,4215,5314,4713,3744,2851,4
44,727058,469,659,610,2140,1323,717,2960,0
45,727138,396,639,547,2458,1344,640,2911,0
46,727154,471,741,590,2340,1274,547,2903,0
47,727170,328,473,464,2166,1245,580,2908,0
48,727186,2370,2613,2564,3213,2431,1807,2818,4
49,727250,341,536,553,1904,1333,734,2911,0
50,727402,385,582,567,2128,1451,712,2954,0
51,728066,1503,1739,1681,3028,2487,1809,2912,4
52,728850,275,444,378,2061,1116,507,2919,0
53,728882,244,354,325,2063,1063,432,2962,0
54,728898,267,421,360,1991,1076,427,2949,0
55,728914,317,428,361,1704,942,438,2920,0
56,728946,187,375,272,2091,843,417,2911,0
57,729154,315,458,366,1869,1062,507,2966,0
58,729202,311,488,468,2036,1137,627,2926,0
59,729266,362,505,482,2173,1236,640,2873,0
60,729282,218,381,329,2061,1177,489,2977,0
61,729314,16022,5753,5668,6462,5323,3728,2840,4
62,729426,2984,3273,3309,4098,4097,3834,2820,4
63,729442,222,416,386,1809,1093,467,2914,0
64,729474,16022,16022,16022,16022,4040,3347,1746,4
65,729490,250,409,325,1974,1206,540,2951,0
66,729506,270,432,310,1952,1235,496,2965,0
67,729538,248,276,247,811,378,113,2958,2
68,729570,391,589,529,2011,1197,619,2930,0
69,729586,283,380,400,2003,1147,512,2978,0
70,729602,215,376,316,1913,1042,474,2964,0
71,729618,213,354,309,1791,928,479,2964,0
72,729634,226,385,303,1828,977,443,2956,0
73,729666,352,525,415,2177,1260,564,2956,0
74,729746,250,411,302,1956,1078,441,2931,0
75,729762,242,376,350,1925,925,353,2900,0
76,729794,219,363,307,1754,993,405,2894,0
77,729810,211,335,288,1586,869,416,2916,0
78,729842,460,496,424,1683,905,408,2934,2
79,729858,359,574,577,1944,1908,1096,3006,0
80,729890,281,409,367,1959,1297,629,2990,0
81,729906,256,354,328,1870,1091,532,2969,0
82,729922,878,1068,1039,2941,2029,1213,2941,0
83,729938,277,427,407,1982,1237,578,2967,0
84,729946,378,607,616,2491,2126,1140,3007,0
85,729954,288,491,450,2017,1162,577,2967,0
86,729970,228,351,307,1927,974,406,2954,0
87,730002,223,384,302,1983,1031,410,2987,0
88,730018,2083,2278,2213,3127,2603,2074,2878,4
89,730050,180,392,300,2252,1015,446,2963,0
90,730082,192,362,302,1878,1191,498,2910,0
91,730114,204,369,264,1833,862,352,2883,0
92,730122,162,239,231,1833,916,359,2909,0
93,730170,202,289,266,1769,899,363,2918,0
94,730234,347,529,523,2062,1337,698,2894,0
95,730242,2382,2601,2608,3657,3313,2630,2896,4
96,730274,348,528,451,2033,1295,640,2926,0
97,730306,635,839,792,2342,1461,841,2844,0
98,730322,274,445,382,1856,973,476,2961,0
99,730338,234,331,290,1738,1028,501,2966,0
100,730346,202,355,305,1832,1052,456,3010,0
101,730354,301,484,432,1924,1071,441,2980,0
102,730378,232,371,332,1892,1075,444,2971,0
103,730386,16022,5887,5932,6592,5132,3734,2830,4
104,730402,184,237,143,1066,418,126,2942,0
105,730442,154,297,210,1922,921,412,2931,0
106,730506,160,229,184,1644,841,351,2922,0
107,730514,212,349,219,1619,897,330,2900,0
