,dates,Blue,Green,Red,NIR,SWIR1,SWIR2,Thermal,qa
0,724402,1369,1623,1734,2349,2748,1883,2965,4
1,724418,1392,1734,1862,2670,2996,2079,2999,4
2,724626,691,1032,1095,2083,2582,1908,3120,0
3,724706,923,1258,1485,2216,3035,2367,3180,0
4,724722,16022,5278,5385,5860,5695,4933,2842,4
5,725026,608,902,944,2114,2325,1609,3065,0
6,725042,641,897,1047,2122,2500,1778,3160,0
7,725058,730,1015,1075,2122,2671,1960,3140,0
8,725074,781,1084,1234,2218,2702,1940,3148,0
9,725090,758,1149,1190,2341,2807,2182,3188,0
10,725122,1369,1767,1710,3342,2637,1917,2786,4
11,725202,525,850,861,2950,2333,1364,3204,0
12,725218,727,1063,1024,3126,2439,1436,3184,0
13,725250,628,854,902,2680,2428,1502,3200,0
14,725266,707,1026,986,2583,2366,1494,3148,0
15,725282,613,898,964,2437,2491,1600,3186,0
16,725298,547,840,848,2127,2012,1213,3164,0
17,725314,608,859,934,2179,2248,1516,3183,0
18,725346,546,700,731,1427,1248,743,3039,0
19,725362,631,942,984,2079,2276,1648,3099,0
20,725378,605,835,964,1895,2345,1670,3075,0
21,725394,1364,1631,1715,2859,3293,2499,2789,4
22,725410,570,726,717,1121,1009,576,3013,2
23,725650,611,899,939,2396,2169,1468,3164,0
24,725994,1592,1809,1719,3470,2181,1403,2187,4
25,726010,533,869,797,3039,2163,1276,3135,0
26,726042,603,894,912,2358,2249,1459,3178,0
27,726058,16022,8464,8488,8907,5380,3657,1500,4
28,726074,854,1190,1213,2813,2471,1621,2936,0
29,726106,737,1040,1168,2138,2312,1569,3098,0
30,726370,488,738,735,1634,1471,933,3090,0
31,726378,620,923,994,2112,2313,1551,3152,0
32,726386,650,909,1034,2121,2511,1782,3244,0
33,726394,736,1020,1111,2132,2282,1545,3211,0
34,726402,16022,5581,5486,6083,2237,1818,1500,4
35,726498,711,928,1049,1917,2220,1605,3094,0
36,726530,791,1096,1214,1990,2384,1834,3166,0
37,726562,963,1332,1522,2426,3126,2337,3167,0
38,726578,845,1199,1346,2079,2736,2111,3218,0
39,726914,625,929,929,2109,2264,1661,3111,0
40,726930,2471,2759,2786,3649,3188,2533,2718,4
41,726946,16022,7451,16022,8199,16022,4296,2864,4
42,726962,16022,7122,7179,7807,16022,4895,2759,4
43,726978,684,989,989,2112,2057,1210,3068,0
44,727058,900,1279,1311,2642,2398,1650,3139,0
45,727138,729,998,1030,2106,2014,1411,3084,0
46,727154,551,814,757,1696,1469,846,3047,0
47,727170,16022,5628,5602,6283,4893,3007,2783,4
48,727186,16022,5394,5384,5855,4086,2213,2684,4
49,727250,802,1076,1152,1936,2237,1777,3083,0
50,727402,673,997,904,3219,2075,1078,3110,0
51,728066,537,888,755,2648,1954,968,3125,0
52,728850,1646,1807,1794,3337,2745,1628,3010,0
53,728882,524,768,784,2264,2106,1270,3144,0
54,728898,556,863,863,2256,2200,1431,3136,0
55,728914,667,869,907,2227,2111,1331,3067,0
56,728946,661,870,935,2006,2319,1492,3157,0
57,729154,771,1038,1183,1945,2548,1917,3181,0
58,729202,2218,2420,2458,3792,3672,3019,2253,4
59,729266,513,783,794,2215,2103,1296,3130,0
60,729282,540,891,885,2388,2040,1214,3179,0
61,729314,280,332,306,836,624,325,3103,0
62,729426,452,819,729,2062,1926,1109,3024,0
63,729442,667,967,996,2075,2488,1749,3061,0
64,729474,16022,6359,6314,6993,5140,4529,1500,4
65,729490,723,912,993,1939,2296,1737,3149,0
66,729506,1024,1483,1650,3386,3065,2124,3219,0
67,729538,731,1040,1065,2091,2412,1680,3208,0
68,729570,935,1201,1201,2309,2109,1359,3061,0
69,729586,650,892,903,2450,2228,1387,3135,0
70,729602,669,888,938,2211,2213,1501,3192,0
